,generation no.,mean,sd,min_val,max_val
0,59,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,60,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,61,-22.097378726905703,0.12495527304592095,-22.292791212460827,-21.928036092051435
0,62,-22.097378726905703,0.12495527304592095,-22.292791212460827,-21.928036092051435
0,63,-22.097378726905703,0.12495527304592095,-22.292791212460827,-21.928036092051435
0,64,-22.097378726905703,0.12495527304592095,-22.292791212460827,-21.928036092051435
0,65,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,66,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,67,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,68,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,69,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,70,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,71,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,72,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,73,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,74,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,75,-22.138222574134765,0.09194286417746302,-22.292791212460827,-22.030657880709768
0,76,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,77,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,78,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,79,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,80,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,81,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,82,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,83,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,84,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,85,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,86,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,87,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,88,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,89,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,90,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,91,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,92,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,93,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,94,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,95,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,96,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,97,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,98,-22.19209467383031,0.09204798205152451,-22.30001837918749,-22.06326062638304
0,99,-22.28182932480763,0.13251530017507768,-22.51193388126964,-22.132255328196756
0,100,-22.28182932480763,0.13251530017507768,-22.51193388126964,-22.132255328196756
0,101,-22.28182932480763,0.13251530017507768,-22.51193388126964,-22.132255328196756
0,102,-22.28182932480763,0.13251530017507768,-22.51193388126964,-22.132255328196756
0,103,-22.36988924421045,0.14911590870457947,-22.572554925210852,-22.172147822923442
0,104,-22.36988924421045,0.14911590870457947,-22.572554925210852,-22.172147822923442
0,105,-22.36988924421045,0.14911590870457947,-22.572554925210852,-22.172147822923442
